case_id;backend;dimension_code;dimension;score_av1;score_av2;score_avg;exact_agreement;abs_diff
P001;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P001;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P001;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P001;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P001;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P002;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P002;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P002;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P002;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P002;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P003;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P003;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P003;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P003;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P003;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P004;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P004;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P004;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P004;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P004;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P005;GPT-5.2;alignment;Alinhamento ao erro principal;0;0;0;VERDADEIRO;0
P005;GPT-5.2;actionability;Acionabilidade;0;0;0;VERDADEIRO;0
P005;GPT-5.2;stage_fit;Adequação ao estado da submissão;1;0;0,5;FALSO;1
P005;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P005;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P006;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P006;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P006;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P006;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P006;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P007;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P007;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P007;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P007;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P007;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P008;GPT-5.2;alignment;Alinhamento ao erro principal;2;1;1,5;FALSO;1
P008;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P008;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P008;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P008;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P009;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P009;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P009;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P009;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P009;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P010;GPT-5.2;alignment;Alinhamento ao erro principal;0;0;0;VERDADEIRO;0
P010;GPT-5.2;actionability;Acionabilidade;0;1;0,5;FALSO;1
P010;GPT-5.2;stage_fit;Adequação ao estado da submissão;1;0;0,5;FALSO;1
P010;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P010;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P011;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P011;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P011;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P011;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P011;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P012;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P012;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P012;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P012;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P012;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P013;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P013;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P013;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P013;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P013;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P014;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P014;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P014;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P014;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P014;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P015;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P015;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P015;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P015;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P015;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P016;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P016;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P016;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P016;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P016;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P017;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P017;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
P017;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P017;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P017;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P018;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P018;GPT-5.2;actionability;Acionabilidade;2;1;1,5;FALSO;1
P018;GPT-5.2;stage_fit;Adequação ao estado da submissão;2;2;2;VERDADEIRO;0
P018;GPT-5.2;clarity;Clareza e estrutura;2;2;2;VERDADEIRO;0
P018;GPT-5.2;no_solution_leak;Ausência de vazamento de solução;2;2;2;VERDADEIRO;0
P019;GPT-5.2;alignment;Alinhamento ao erro principal;2;2;2;VERDADEIRO;0
P019;GPT-5.2;actionability;Acionabilidade;2;2;2;VERDADEIRO;0
