case_id;backend;model;stage;raw_stage;evidence_regime;has_tests;tests_total;tests_passed;oracle_ref;model_marker;governed_decision;marker_extracted;marker_strict_format;latency_s;input_tokens;output_tokens;total_tokens;policy_path;policy_stage;policy_blockers;policy_text_signals;overclaim_detected;overclaim_fixed;failure_signal;error_category;test_group;model_vs_oracle;governance_vs_oracle;model_vs_governance
OP001;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;6;1641;90;1731;oráculo_testes;S3;pendência;elogio;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP002;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;4;1712;65;1777;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP003;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1694;75;1769;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP004;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1455;59;1514;oráculo_testes;S4;pendência|pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP005;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1617;109;1726;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP006;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1787;102;1889;oráculo_testes;S3;;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP007;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1736;73;1809;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP008;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;4;1570;107;1677;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP009;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1582;103;1685;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP010;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;1651;119;1770;oráculo_testes;S3;pendência|pede_ação;elogio;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP011;openai;gpt-5.2;S2;S2;oracle;VERDADEIRO;3;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;6;1593;116;1709;oráculo_testes;S2;pede_ação;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A3;TN;correct;agree_false
OP012;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;1707;140;1847;oráculo_testes;S3;pede_ação;elogio;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP013;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1533;75;1608;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP014;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1581;124;1705;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP015;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1529;126;1655;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP016;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1588;65;1653;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP017;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1476;83;1559;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP018;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1490;78;1568;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP019;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1729;114;1843;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
